| wave      | ion | NIST | Instr | amplitude |  Source |
|  9125.471 | Ar |    1 |  5849 |    5848.5 | unknown |
|  9197.161 | Ar |    1 |    17 |      17.2 | unknown |
|  9227.029 | Ar |    1 |   930 |     929.6 | unknown |
|  9294.081 | Ar |    1 |    16 |      16.0 | unknown |
|  9356.785 | Ar |    1 |   123 |     123.2 | unknown |
|  9660.435 | Ar |    1 |  2156 |    2156.0 | unknown |
|  9787.185 | Ar |    1 |   398 |     398.4 | unknown |
| 10472.922 | Ar |    1 |   634 |     634.1 | unknown |
| 10676.490 | Ar |    1 |   142 |     141.8 | unknown |
| 10684.698 | Ar |    1 |    19 |      18.8 | unknown |
| 11081.902 | Ar |    1 |    12 |      11.6 | unknown |
| 11491.253 | Ar |    1 |    42 |      42.2 | unknown |
| 11491.253 | Ar |    1 |    30 |      29.9 | unknown |
| 11671.903 | Ar |    1 |    40 |      39.9 | unknown |
| 12115.639 | Ar |    1 |    30 |      30.5 | unknown |
| 12143.059 | Ar |    1 |    11 |      11.3 | unknown |
| 12346.769 | Ar |    1 |    18 |      17.7 | unknown |
| 12406.221 | Ar |    1 |    56 |      55.5 | unknown |
| 12442.725 | Ar |    1 |    78 |      77.7 | unknown |
| 12459.522 | Ar |    1 |    23 |      23.3 | unknown |
| 12491.080 | Ar |    1 |    40 |      40.0 | unknown |
| 12705.755 | Ar |    1 |    24 |      24.4 | unknown |
| 12806.239 | Ar |    1 |    20 |      19.7 | unknown |
| 12960.202 | Ar |    1 |    46 |      46.2 | unknown |
| 13011.822 | Ar |    1 |    11 |      10.9 | unknown |
| 13217.605 | Ar |    1 |    15 |      15.0 | unknown |
| 13276.265 | Ar |    1 |    18 |      17.9 | unknown |
| 13316.851 | Ar |    1 |    11 |      10.6 | unknown |
| 13370.766 | Ar |    1 |     9 |       9.3 | unknown |
