| wave      | ion | NIST | Instr | amplitude |  Source |
|  9125.471 | Hg |    1 |  4566 |    4566.2 | unknown |
|  9227.029 | Hg |    1 |   592 |     592.3 | unknown |
|  9356.785 | Hg |    1 |    74 |      73.6 | unknown |
|  9660.435 | Hg |    1 |  1538 |    1538.0 | unknown |
|  9787.185 | Hg |    1 |   215 |     215.3 | unknown |
| 10142.530 | Hg |    1 |    60 |      60.1 | unknown |
| 10472.922 | Hg |    1 |   433 |     433.0 | unknown |
| 10676.490 | Hg |    1 |    72 |      71.6 | unknown |
| 11290.200 | Hg |    1 |    31 |      31.4 | unknown |
| 11491.253 | Hg |    1 |    28 |      27.6 | unknown |
| 11671.903 | Hg |    1 |    20 |      19.5 | unknown |
| 12115.639 | Hg |    1 |    14 |      14.2 | unknown |
| 12406.221 | Hg |    1 |    29 |      29.0 | unknown |
| 12442.725 | Hg |    1 |    46 |      45.7 | unknown |
| 12459.522 | Hg |    1 |    11 |      10.9 | unknown |
| 12491.080 | Hg |    1 |    19 |      18.7 | unknown |
| 12705.755 | Hg |    1 |    13 |      12.7 | unknown |
| 12960.202 | Hg |    1 |    26 |      26.4 | unknown |
| 13217.605 | Hg |    1 |     9 |       9.1 | unknown |
