| wave      | ion | NIST | Instr | amplitude |  Source |
|  9047.930 | Xe |    1 |   222 |     222.1 | unknown |
|  9165.167 | Xe |    1 |   926 |     925.6 | unknown |
|  9377.330 | Xe |    1 |    36 |      35.9 | unknown |
|  9515.987 | Xe |    1 |    90 |      90.0 | unknown |
|  9687.980 | Xe |    1 |    20 |      19.9 | unknown |
|  9720.830 | Xe |    1 |    21 |      20.6 | unknown |
|  9802.384 | Xe |    1 |  2350 |    2349.9 | unknown |
|  9925.919 | Xe |    1 |  1714 |    1713.6 | unknown |
| 10110.110 | Xe |    1 |    14 |      14.1 | unknown |
| 10530.761 | Xe |    1 |    19 |      19.0 | unknown |
| 10841.300 | Xe |    1 |   125 |     125.0 | unknown |
| 11088.306 | Xe |    1 |    11 |      11.3 | unknown |
| 11745.526 | Xe |    1 |     9 |       9.5 | unknown |
| 12626.805 | Xe |    1 |    13 |      12.6 | unknown |
